1/X,,,Capacity,
,column1,,,column1
l1,7142.857143,,l1,175
l2,473.9336493,,l2,175
l3,1176.470588,,l3,175
l4,787.4015748,,l4,175
l5,520.8333333,,l5,175
l6,840.3361345,,l6,175
l7,1190.47619,,l7,400
l8,961.5384615,,l8,175
l9,1136.363636,,l9,175
l10,1639.344262,,l10,175
l11,1639.344262,,l11,175
l12,606.0606061,,l12,175
l13,606.0606061,,l13,175
l14,1190.47619,,l14,400
l15,1190.47619,,l15,400
l16,1190.47619,,l16,400
l17,1190.47619,,l17,400
l18,2083.333333,,l18,500
l19,2380.952381,,l19,500
l20,2083.333333,,l20,500
l21,1030.927835,,l21,500
l22,1149.425287,,l22,500
l23,1694.915254,,l23,500
l24,5882.352941,,l24,500
l25,2040.816327,,l25,500
l26,1923.076923,,l26,500
l27,3846.153846,,l27,500
l28,4347.826087,,l28,500
l29,7142.857143,,l29,500
l30,952.3809524,,l30,500
l31,3846.153846,,l31,500
l32,2500,,l32,500
l33,4545.454545,,l33,500
l34,1470.588235,,l34,500
l35,2040.816327,,l35,500
l36,3846.153846,,l36,500
l37,2500,,l37,500
l38,4545.454545,,l38,500
l39,7142.857143,,l39,175
l40,473.9336493,,l40,175
l41,1176.470588,,l41,175
l42,787.4015748,,l42,175
l43,520.8333333,,l43,175
l44,840.3361345,,l44,175
l45,1190.47619,,l45,400
l46,961.5384615,,l46,175
l47,1136.363636,,l47,175
l48,1639.344262,,l48,175
l49,1639.344262,,l49,175
l50,606.0606061,,l50,175
l51,606.0606061,,l51,175
l52,1190.47619,,l52,400
l53,1190.47619,,l53,400
l54,1190.47619,,l54,400
l55,1190.47619,,l55,400
l56,2083.333333,,l56,500
l57,2380.952381,,l57,500
l58,2083.333333,,l58,500
l59,1030.927835,,l59,500
l60,1149.425287,,l60,500
l61,1694.915254,,l61,500
l62,5882.352941,,l62,500
l63,2040.816327,,l63,500
l64,1923.076923,,l64,500
l65,3846.153846,,l65,500
l66,4347.826087,,l66,500
l67,7142.857143,,l67,500
l68,952.3809524,,l68,500
l69,3846.153846,,l69,500
l70,2500,,l70,500
l71,4545.454545,,l71,500
l72,1470.588235,,l72,500
l73,2040.816327,,l73,500
l74,3846.153846,,l74,500
l75,2500,,l75,500
l76,4545.454545,,l76,500
l77,7142.857143,,l77,175
l78,473.9336493,,l78,175
l79,1176.470588,,l79,175
l80,787.4015748,,l80,175
l81,520.8333333,,l81,175
l82,840.3361345,,l82,175
l83,1190.47619,,l83,400
l84,961.5384615,,l84,175
l85,1136.363636,,l85,175
l86,1639.344262,,l86,175
l87,1639.344262,,l87,175
l88,606.0606061,,l88,175
l89,606.0606061,,l89,175
l90,1190.47619,,l90,400
l91,1190.47619,,l91,400
l92,1190.47619,,l92,400
l93,1190.47619,,l93,400
l94,2083.333333,,l94,500
l95,2380.952381,,l95,500
l96,2083.333333,,l96,500
l97,1030.927835,,l97,500
l98,1149.425287,,l98,500
l99,1694.915254,,l99,500
l100,5882.352941,,l100,500
l101,2040.816327,,l101,500
l102,1923.076923,,l102,500
l103,3846.153846,,l103,500
l104,4347.826087,,l104,500
l105,7142.857143,,l105,500
l106,952.3809524,,l106,500
l107,3846.153846,,l107,500
l108,2500,,l108,500
l109,4545.454545,,l109,500
l110,1470.588235,,l110,500
l111,2040.816327,,l111,500
l112,3846.153846,,l112,500
l113,2500,,l113,500
l114,4545.454545,,l114,500
l115,621.1180124,,l115,175
l116,1333.333333,,l116,500
l117,1351.351351,,l117,500
l118,961.5384615,,l118,500
l119,1030.927835,,l119,500
l120,11111.11111,,l120,722
