,,,,,,,,,,,,,,,,,,,load percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9405,7806.15,187347.6
WEEK,DAY,HOUR,,Weekly load in percent of annual,Daily load in percent of weekly,Hourly load in percent of daily,Peak load,,,,s1,s2,s3,s4,s5,s6,,,,s3,s4,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUM,,,3186.531563,4089.382172,98145.17213
1,1,1,,0.862,0.93,0.67,166.4,,,t1,0,0,33.28,66.56,66.56,0,,,,0.2,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5051.540241,,1,5051.540241,,
,,2,,0.862,0.93,0.63,156,,,t2,0,0,31.2,62.4,62.4,0,,,,0.2,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4749.955749,,2,4749.955749,,
,,3,,0.862,0.93,0.6,150.8,,,t3,0,0,30.16,60.32,60.32,0,,,,0.2,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4523.76738,,3,4523.76738,,
,,4,,0.862,0.93,0.59,145.6,,,t4,0,0,29.12,58.24,58.24,0,,,,0.2,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4448.371257,,4,4448.371257,,
,,5,,0.862,0.93,0.59,145.6,,,t5,0,0,29.12,58.24,58.24,0,,,,0.2,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4448.371257,,5,4448.371257,,
,,6,,0.862,0.93,0.6,150.8,,,t6,0,0,30.16,60.32,60.32,0,,,,0.2,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4523.76738,,6,4523.76738,,
,,7,,0.862,0.93,0.74,166.4,,,t7,0,0,33.28,66.56,66.56,0,,,,0.2,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5579.313102,,7,5579.313102,,
,,8,,0.862,0.93,0.86,197.6,,,t8,0,0,39.52,79.04,79.04,0,,,,0.2,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6484.066578,,8,6484.066578,,
