Capacity (MW),,,"Count ""off"" Init (h)",,,"Count ""on"" Init (h)",,,No Load Cost ($),,,,,,Ramp Up Limit (MW/h),,,,,,Ramp Down Limit (MW/h),,,,,,Min. Down Time (h),,,,,,Min. Up Time (h),,,,,,Min. Output (MW),,,,,,Output at t=0 (MW),,,Cost ($/MW):,,,,,,,,Output Block (MW):,,,,,Start-up Cost ($):,,,,,,,,Start-up Blocks (h):,,,,,,,,,,,,,,,,,Start-up Cost($),
,column1,,,column1,,,column1,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,column1,,,,,tr1,tr2,tr3,tr4,,,b1,b2,b3,,,,,tr1,tr2,tr3,tr4,,,j1,j2,j3,j4,j5,j6,j7,j8,,,,,,,StartUp,,,Column1
i1,20,,i1,0,,i1,1,,i1,454.572,117.31,454.572,454.572,,i1,90,30.5,30.5,30.5,,i1,100,70,70,70,,i1,1,1,1,1,,i1,2,1,2,1,,i1,8,4,4,4,,i1,20,,i1,.,b1,28.967,37.711,28.967,28.967,,i1,6.666666667,6.666666667,6.666666667,,i1,.,j1,25,2.5,25,25,,i1,1,2,3,4,5,6,7,8,,i1,,j1,25,0,0,,i1,40
i2,20,,i2,0,,i2,400,,i2,454.562,117.64,454.562,454.562,,i2,90,30.5,30.5,30.5,,i2,100,70,70,70,,i2,1,1,1,1,,i2,2,1,2,1,,i2,8,4,4,4,,i2,20,,i1,.,b2,29.243,37.839,29.243,29.243,,i2,6.666666667,6.666666667,6.666666667,,i1,.,j2,28,2.857142857,28,28,,i2,1,2,3,4,5,6,7,8,,i2,,j2,28,0,0,,i2,40
i3,76,,i3,0,,i3,220,,i3,263.419,76.414,263.419,263.419,,i3,120,38.5,38.5,38.5,,i3,120,80,80,80,,i3,2,2,2,2,,i3,3,3,3,3,,i3,40,15.2,15.2,15.2,,i3,70,,i1,.,b3,29.703,37.967,29.703,29.703,,i3,25.33333333,25.33333333,25.33333333,,i1,.,j3,31,3.214285714,31,31,,i3,1,2,3,4,5,6,7,8,,i3,,j3,31,0,0,,i3,78.28571429
i4,76,,i4,1,,i4,0,,i4,263.429,76.473,263.429,263.429,,i4,120,38.5,38.5,38.5,,i4,120,80,80,80,,i4,2,2,2,2,,i4,3,3,3,3,,i4,40,15.2,15.2,15.2,,i4,0,,i2,.,b1,28.957,37.832,28.957,28.957,,i4,25.33333333,25.33333333,25.33333333,,i1,.,j4,34,3.571428571,34,34,,i4,1,2,3,4,5,6,7,8,,i4,,j4,34,0,0,,i4,78.28571429
i5,20,,i5,17,,i5,0,,i5,454.552,117.95,454.552,454.552,,i5,90,30.5,30.5,30.5,,i5,100,70,70,70,,i5,1,1,1,1,,i5,2,1,2,1,,i5,8,4,4,4,,i5,0,,i2,.,b2,29.233,37.967,29.233,29.233,,i5,6.666666667,6.666666667,6.666666667,,i1,.,j5,37,3.928571429,37,37,,i5,1,2,3,4,5,6,7,8,,i5,,j5,37,0,0,,i5,40
i6,20,,i6,4,,i6,0,,i6,454.542,118.29,454.542,454.542,,i6,90,30.5,30.5,30.5,,i6,100,70,70,70,,i6,1,1,1,1,,i6,2,1,2,1,,i6,8,4,4,4,,i6,0,,i2,.,b3,29.693,38.101,29.693,29.693,,i6,6.666666667,6.666666667,6.666666667,,i1,.,j6,40,4.285714286,40,40,,i6,1,2,3,4,5,6,7,8,,i6,,j6,40,1,40,,i6,40
i7,76,,i7,66,,i7,0,,i7,263.409,76.558,263.409,263.409,,i7,120,38.5,38.5,38.5,,i7,120,80,80,80,,i7,2,2,2,2,,i7,3,3,3,3,,i7,40,15.2,15.2,15.2,,i7,0,,i3,.,b1,18.423,13.771,18.423,18.423,,i7,25.33333333,25.33333333,25.33333333,,i1,.,j7,43,4.642857143,43,43,,i7,1,2,3,4,5,6,7,8,,i7,,j7,43,0,0,,i7,78.28571429
i8,76,,i8,33,,i8,0,,i8,263.399,76.602,263.399,263.399,,i8,120,38.5,38.5,38.5,,i8,120,80,80,80,,i8,2,2,2,2,,i8,3,3,3,3,,i8,40,15.2,15.2,15.2,,i8,0,,i3,.,b2,19.228,14.126,19.228,19.228,,i8,25.33333333,25.33333333,25.33333333,,i1,.,j8,46,5,46,46,,i8,1,2,3,4,5,6,7,8,,i8,,j8,46,0,0,,i8,78.28571429
i9,100,,i9,0,,i9,11,,i9,306.613,210.11,306.613,306.613,,i9,420,51,51,51,,i9,420,74,74,74,,i9,2,2,2,2,,i9,4,4,4,4,,i9,40,25,25,25,,i9,100,,i3,.,b3,20.102,14.481,20.102,20.102,,i9,33.33333333,33.33333333,33.33333333,,i2,.,j1,25,2.5,25,25,,i9,1,2,3,4,5,6,7,8,,i9,,,25,0,0,,i9,102.8571429
i10,100,,i10,0,,i10,2,,i10,306.623,210.69,306.623,306.623,,i10,420,51,51,51,,i10,420,74,74,74,,i10,2,2,2,2,,i10,4,4,4,4,,i10,40,25,25,25,,i10,90,,i4,.,b1,18.433,13.807,18.433,18.433,,i10,33.33333333,33.33333333,33.33333333,,i2,.,j2,28,2.857142857,28,28,,i10,1,2,3,4,5,6,7,8,,i10,,,28,0,0,,i10,102.8571429
